user_id,graph_score,known_fraud_connections,mule_cluster_size,inbound_sources,outbound_dest,rapid_account_cluster_flag,mule_cluster_flag
U201,0,0,2,0,1,0,0
U202,0,0,0,2,0,0,0
U203,0,0,0,1,2,0,0
U204,0,0,1,0,1,0,0
U205,0,0,0,1,1,0,0
U206,0,0,0,0,1,0,0
U207,0,0,0,0,0,0,0
U208,40,1,2,0,2,0,0
U209,0,0,3,0,1,0,0
U210,0,0,0,0,0,0,0
U211,0,0,2,3,0,0,0
U212,0,0,1,0,0,0,0
U213,0,0,0,1,0,0,0
U214,0,0,0,1,0,0,0
U215,0,0,0,2,0,0,0
U216,0,0,0,0,0,0,0
U217,0,0,0,2,1,0,0
U218,0,0,1,1,4,0,0
U219,0,0,0,1,2,0,0
U220,0,0,0,0,0,0,0
U221,0,0,0,0,0,0,0
U222,0,0,0,1,1,0,0
U223,0,0,1,2,2,0,0
U224,0,0,0,0,1,0,0
U225,0,0,0,1,0,0,0
U226,0,0,0,0,0,0,0
U227,0,0,0,0,2,0,0
U228,0,0,1,0,1,0,0
U229,0,0,1,1,0,0,0
U230,60,0,1,3,1,0,0
U231,0,0,0,1,0,0,0
U232,0,0,0,0,1,0,0
U233,0,0,0,0,0,0,0
U234,0,0,1,2,2,0,0
U235,0,0,0,0,1,0,0
U236,40,1,1,1,2,0,0
U237,0,0,0,1,2,0,0
U238,0,0,2,1,1,0,0
U239,0,0,0,1,0,0,0
U240,0,0,0,2,0,0,0
U241,60,0,0,4,1,0,0
U242,0,0,0,1,0,0,0
U243,0,0,0,2,0,0,0
U244,0,0,0,1,0,0,0
U245,0,0,0,1,0,0,0
U246,0,0,0,0,0,0,0
U247,0,0,1,3,4,0,0
U248,0,0,0,2,2,0,0
U249,0,0,0,2,0,0,0
U250,0,0,0,1,0,0,0
U251,0,0,1,0,1,0,0
U252,0,0,0,1,0,0,0
U253,0,0,0,4,2,0,0
U254,0,0,0,1,1,0,0
U255,0,0,1,1,3,0,0
U256,0,0,0,1,0,0,0
U257,40,1,1,0,3,0,0
U258,0,0,0,1,0,0,0
U259,40,1,1,1,1,0,0
U260,0,0,1,0,1,0,0
U261,40,1,2,0,0,0,0
U262,0,0,0,0,1,0,0
U263,0,0,1,1,0,0,0
U264,0,0,0,1,2,0,0
U265,0,0,0,1,0,0,0
U266,0,0,0,0,1,0,0
U267,0,0,1,0,1,0,0
U268,0,0,0,1,0,0,0
U269,0,0,1,0,1,0,0
U270,0,0,0,0,0,0,0
U271,0,0,0,0,0,0,0
U272,0,0,0,4,0,0,0
U273,0,0,0,3,0,0,0
U274,0,0,0,0,1,0,0
U275,0,0,0,0,1,0,0
U276,0,0,0,0,2,0,0
U277,0,0,1,2,0,0,0
U278,40,1,1,0,3,0,0
U279,0,0,1,0,0,0,0
U280,0,0,1,2,2,0,0
U281,0,0,0,1,0,0,0
U282,0,0,0,2,0,0,0
U283,40,1,1,1,2,0,0
U284,0,0,1,0,0,0,0
U285,100,1,1,3,1,0,0
U286,0,0,0,1,1,0,0
U287,0,0,0,0,0,0,0
U288,0,0,0,1,0,0,0
U289,0,0,0,0,0,0,0
U290,0,0,0,1,1,0,0
U291,0,0,0,0,1,0,0
U292,0,0,0,0,2,0,0
U293,0,0,0,1,1,0,0
U294,0,0,0,1,1,0,0
U295,0,0,0,0,0,0,0
U296,0,0,0,0,0,0,0
U297,0,0,0,0,1,0,0
U298,0,0,1,0,0,0,0
U299,0,0,1,0,1,0,0
U300,0,0,0,1,2,0,0
U301,0,0,2,2,0,0,0
U302,0,0,0,2,0,0,0
U303,0,0,0,2,1,0,0
U304,60,0,0,3,1,0,0
U305,0,0,0,1,0,0,0
U306,0,0,0,1,1,0,0
U307,0,0,1,1,0,0,0
U308,0,0,2,1,3,0,0
U309,40,1,2,1,1,0,0
U310,0,0,0,2,0,0,0
U311,0,0,0,2,1,0,0
U312,0,0,0,2,0,0,0
U313,0,0,0,0,0,0,0
U314,0,0,1,1,1,0,0
U315,0,0,0,0,4,0,0
U316,0,0,1,2,1,0,0
U317,0,0,1,1,0,0,0
U318,60,0,0,4,1,0,0
U319,0,0,1,1,2,0,0
U320,0,0,0,1,2,0,0
U321,0,0,0,2,0,0,0
U322,40,1,1,1,0,0,0
U323,0,0,0,1,1,0,0
U324,0,0,0,0,0,0,0
U325,0,0,0,3,0,0,0
U326,0,0,0,1,1,0,0
U327,0,0,1,2,0,0,0
U328,0,0,0,2,1,0,0
U329,60,0,0,4,1,0,0
U330,0,0,0,0,0,0,0
U331,0,0,0,2,0,0,0
U332,0,0,0,2,1,0,0
U333,0,0,0,0,2,0,0
U334,0,0,0,0,0,0,0
U335,0,0,1,0,1,0,0
U336,0,0,1,0,3,0,0
U337,0,0,0,1,0,0,0
U338,0,0,0,1,2,0,0
U339,0,0,0,2,2,0,0
U340,0,0,0,0,1,0,0
U341,0,0,0,0,1,0,0
U342,0,0,0,2,1,0,0
U343,0,0,1,1,1,0,0
U344,0,0,0,1,0,0,0
U345,0,0,1,0,0,0,0
U346,0,0,0,1,0,0,0
U347,0,0,0,0,1,0,0
U348,0,0,0,0,0,0,0
U349,0,0,1,2,4,0,0
U350,0,0,1,2,2,0,0
U351,0,0,1,0,0,0,0
U352,0,0,1,0,1,0,0
U353,0,0,3,1,0,0,0
U354,0,0,0,0,1,0,0
U355,0,0,0,2,2,0,0
U356,0,0,1,0,1,0,0
U357,0,0,0,1,0,0,0
U358,0,0,0,1,1,0,0
U359,0,0,0,2,0,0,0
U360,0,0,0,1,0,0,0
U361,0,0,1,3,0,0,0
U362,0,0,0,0,0,0,0
U363,0,0,0,1,0,0,0
U364,0,0,1,0,1,0,0
U365,0,0,0,0,0,0,0
U366,0,0,0,0,0,0,0
U367,0,0,0,1,3,0,0
U368,0,0,0,1,0,0,0
U369,0,0,0,0,0,0,0
U370,0,0,2,0,1,0,0
U371,0,0,0,1,0,0,0
U372,0,0,1,0,0,0,0
U373,0,0,1,1,0,0,0
U374,0,0,1,0,1,0,0
U375,0,0,1,1,1,0,0
U376,0,0,0,0,0,0,0
U377,0,0,0,2,1,0,0
U378,0,0,0,1,0,0,0
U379,0,0,0,1,0,0,0
U380,0,0,0,1,1,0,0
U381,0,0,1,0,1,0,0
U382,0,0,0,0,1,0,0
U383,0,0,2,1,2,0,0
U384,0,0,0,169,0,0,0
U385,0,0,1,1,2,0,0
U386,0,0,1,3,3,0,0
U387,0,0,0,1,1,0,0
U388,0,0,0,0,0,0,0
U389,0,0,0,0,1,0,0
U390,0,0,0,1,2,0,0
U391,0,0,0,1,0,0,0
U392,0,0,1,2,0,0,0
U393,0,0,1,0,0,0,0
U394,0,0,1,1,1,0,0
U395,0,0,1,0,0,0,0
U396,0,0,0,0,1,0,0
U397,0,0,2,2,2,0,0
U398,0,0,2,0,0,0,0
U399,0,0,1,0,0,0,0
U400,0,0,0,0,0,0,0
U401,0,0,0,0,1,0,0
U402,0,0,0,1,0,0,0
U403,0,0,0,1,2,0,0
U404,0,0,0,0,1,0,0
U405,0,0,0,0,0,0,0
U406,0,0,0,192,2,0,0
U407,40,1,1,1,0,0,0
U408,0,0,0,0,0,0,0
U409,0,0,1,1,1,0,0
U410,0,0,0,1,2,0,0
U411,0,0,0,1,2,0,0
U412,0,0,0,0,0,0,0
U413,0,0,0,2,0,0,0
U414,0,0,1,1,0,0,0
U415,0,0,2,0,1,0,0
U416,0,0,0,1,3,0,0
U417,0,0,1,0,0,0,0
U418,0,0,0,1,0,0,0
U419,0,0,0,1,1,0,0
U420,0,0,0,0,0,0,0
U421,0,0,0,0,0,0,0
U422,0,0,1,0,0,0,0
U423,40,1,1,2,1,0,0
U424,60,0,1,3,1,0,0
U425,0,0,0,0,2,0,0
U426,0,0,0,0,3,0,0
U427,0,0,1,3,0,0,0
U428,40,1,2,0,2,0,0
U429,0,0,0,1,0,0,0
U430,0,0,0,5,2,0,0
U431,0,0,1,1,0,0,0
U432,0,0,2,0,0,0,0
U433,0,0,0,1,0,0,0
U434,40,1,2,0,2,0,0
U435,0,0,0,0,1,0,0
U436,0,0,1,1,0,0,0
U437,0,0,0,2,1,0,0
U438,0,0,0,2,0,0,0
U439,0,0,0,1,1,0,0
U440,0,0,0,1,1,0,0
U441,0,0,0,0,0,0,0
U442,0,0,0,1,2,0,0
U443,0,0,0,2,1,0,0
U444,0,0,0,1,1,0,0
U445,0,0,0,0,2,0,0
U446,0,0,1,0,0,0,0
U447,0,0,0,0,1,0,0
U448,40,1,2,0,2,0,0
U449,0,0,1,0,0,0,0
U450,0,0,1,1,0,0,0
U451,0,0,0,1,1,0,0
U452,0,0,1,185,0,0,0
U453,0,0,1,2,0,0,0
U454,0,0,0,0,0,0,0
U455,0,0,0,1,1,0,0
U456,0,0,2,0,1,0,0
U457,0,0,0,0,1,0,0
U458,0,0,1,1,0,0,0
U459,0,0,0,0,1,0,0
U460,0,0,0,2,0,0,0
U461,0,0,1,0,1,0,0
U462,0,0,0,2,1,0,0
U463,0,0,0,0,2,0,0
U464,0,0,1,2,0,0,0
U465,0,0,0,1,1,0,0
U466,0,0,2,1,1,0,0
U467,0,0,0,2,1,0,0
U468,0,0,1,1,2,0,0
U469,60,0,0,4,1,0,0
U470,0,0,0,1,2,0,0
U471,0,0,0,4,0,0,0
U472,0,0,0,1,0,0,0
U473,0,0,0,1,2,0,0
U474,0,0,1,3,3,0,0
U475,60,0,0,189,1,0,0
U476,0,0,2,3,2,0,0
U477,0,0,0,0,0,0,0
U478,60,0,1,3,1,0,0
U479,0,0,1,1,0,0,0
U480,0,0,0,0,0,0,0
U481,0,0,0,0,0,0,0
U482,0,0,1,2,1,0,0
U483,0,0,0,0,1,0,0
U484,0,0,1,2,1,0,0
U485,0,0,0,2,3,0,0
U486,0,0,2,1,2,0,0
U487,0,0,0,2,2,0,0
U488,0,0,1,0,2,0,0
U489,60,0,1,3,1,0,0
U490,0,0,0,0,0,0,0
U491,0,0,0,1,1,0,0
U492,0,0,0,1,1,0,0
U493,0,0,0,0,1,0,0
U494,0,0,1,1,0,0,0
U495,0,0,0,0,1,0,0
U496,0,0,0,1,2,0,0
U497,0,0,2,0,1,0,0
U498,0,0,0,1,1,0,0
U499,0,0,2,1,1,0,0
U500,0,0,2,0,0,0,0
U501,0,0,0,0,4,0,0
U502,0,0,0,1,2,0,0
U503,0,0,0,1,0,0,0
U504,0,0,0,0,0,0,0
U505,0,0,1,1,1,0,0
U506,0,0,0,1,1,0,0
U507,0,0,0,0,0,0,0
U508,0,0,2,2,1,0,0
U509,0,0,2,1,2,0,0
U510,0,0,0,0,0,0,0
U511,0,0,1,1,2,0,0
U512,0,0,1,0,1,0,0
U513,0,0,1,0,2,0,0
U514,0,0,0,1,1,0,0
U515,0,0,0,0,1,0,0
U516,0,0,0,0,0,0,0
U517,0,0,0,0,0,0,0
U518,0,0,1,1,0,0,0
U519,0,0,0,1,0,0,0
U520,0,0,0,0,1,0,0
U521,0,0,0,1,1,0,0
U522,0,0,0,0,0,0,0
U523,0,0,0,2,1,0,0
U524,0,0,2,0,0,0,0
U525,0,0,0,0,1,0,0
U526,0,0,0,0,3,0,0
U527,0,0,0,1,1,0,0
U528,0,0,0,0,0,0,0
U529,0,0,1,0,0,0,0
U530,0,0,0,1,2,0,0
U531,0,0,0,0,1,0,0
U532,0,0,2,2,0,0,0
U533,0,0,0,0,1,0,0
U534,0,0,1,2,2,0,0
U535,0,0,1,2,2,0,0
U536,0,0,2,2,1,0,0
U537,0,0,0,0,0,0,0
U538,0,0,1,0,1,0,0
U539,0,0,2,2,1,0,0
U540,0,0,2,0,0,0,0
U541,0,0,0,1,1,0,0
U542,0,0,0,1,2,0,0
U543,0,0,0,0,1,0,0
U544,40,1,1,0,0,0,0
U545,0,0,0,0,0,0,0
U546,0,0,1,2,0,0,0
U547,0,0,0,0,1,0,0
U548,40,1,3,0,0,0,0
U549,0,0,1,3,0,0,0
U550,0,0,0,1,1,0,0
U551,0,0,1,1,2,0,0
U552,0,0,3,0,0,0,0
U553,0,0,0,1,0,0,0
U554,0,0,1,0,2,0,0
U555,0,0,1,2,0,0,0
U556,0,0,0,0,1,0,0
U557,0,0,0,0,0,0,0
U558,0,0,0,2,1,0,0
U559,60,0,0,4,1,0,0
U560,0,0,1,2,1,0,0
U561,0,0,1,2,0,0,0
U562,0,0,0,0,0,0,0
U563,0,0,0,2,0,0,0
U564,0,0,0,0,1,0,0
U565,0,0,0,1,2,0,0
U566,0,0,0,1,2,0,0
U567,0,0,2,0,1,0,0
U568,0,0,0,0,0,0,0
U569,0,0,0,1,1,0,0
U570,0,0,1,0,4,0,0
U571,0,0,0,0,1,0,0
U572,0,0,0,3,2,0,0
U573,0,0,1,1,0,0,0
U574,0,0,0,2,1,0,0
U575,0,0,0,0,1,0,0
U576,0,0,1,2,4,0,0
U577,40,1,2,2,0,0,0
U578,0,0,0,1,1,0,0
U579,0,0,1,0,1,0,0
U580,60,0,0,4,1,0,0
U581,0,0,1,0,1,0,0
U582,0,0,0,2,0,0,0
U583,40,1,1,1,0,0,0
U584,40,1,1,2,1,0,0
U585,0,0,1,0,1,0,0
U586,40,1,1,2,1,0,0
U587,0,0,0,1,2,0,0
U588,0,0,0,1,3,0,0
U589,0,0,0,0,0,0,0
U590,0,0,0,2,2,0,0
U591,0,0,2,0,0,0,0
U592,0,0,1,3,0,0,0
U593,100,1,1,3,1,0,0
U594,0,0,0,2,1,0,0
U595,0,0,2,1,0,0,0
U596,0,0,0,1,1,0,0
U597,0,0,0,1,0,0,0
U598,60,0,0,171,1,0,0
U599,0,0,1,1,4,0,0
U600,0,0,0,0,2,0,0
U601,0,0,0,0,0,0,0
U602,0,0,0,1,1,0,0
U603,0,0,0,1,0,0,0
U604,40,1,2,1,0,0,0
U605,0,0,0,1,1,0,0
U606,0,0,1,0,4,0,0
U607,0,0,1,3,2,0,0
U608,0,0,1,1,3,0,0
U609,0,0,0,0,1,0,0
U610,40,1,1,1,2,0,0
U611,0,0,0,2,0,0,0
U612,0,0,0,1,1,0,0
U613,0,0,1,0,1,0,0
U614,0,0,1,2,2,0,0
U615,0,0,1,4,2,0,0
U616,0,0,0,2,0,0,0
U617,0,0,0,2,2,0,0
U618,0,0,1,2,1,0,0
U619,0,0,0,3,3,0,0
U620,0,0,0,0,1,0,0
U621,0,0,0,2,0,0,0
U622,0,0,0,1,0,0,0
U623,0,0,0,2,1,0,0
U624,0,0,0,1,1,0,0
U625,0,0,1,0,1,0,0
U626,0,0,1,3,0,0,0
U627,0,0,0,0,1,0,0
U628,0,0,3,0,1,0,0
U629,0,0,2,1,0,0,0
U630,0,0,0,0,1,0,0
U631,60,0,1,182,1,0,0
U632,0,0,1,1,1,0,0
U633,0,0,0,2,1,0,0
U634,0,0,0,3,0,0,0
U635,0,0,1,1,0,0,0
U636,40,1,1,1,2,0,0
U637,0,0,0,1,1,0,0
U638,0,0,0,0,0,0,0
U639,0,0,2,3,0,0,0
U640,40,1,1,0,2,0,0
U641,0,0,0,2,0,0,0
U642,0,0,0,1,0,0,0
U643,0,0,1,2,1,0,0
U644,0,0,0,0,1,0,0
U645,0,0,0,2,0,0,0
U646,0,0,0,2,1,0,0
U647,0,0,0,2,0,0,0
U648,0,0,0,1,1,0,0
U649,40,1,2,1,1,0,0
U650,0,0,1,1,1,0,0
U651,0,0,0,0,1,0,0
U652,0,0,0,2,1,0,0
U653,0,0,1,0,1,0,0
U654,0,0,2,2,0,0,0
U655,0,0,1,1,0,0,0
U656,0,0,0,1,1,0,0
U657,0,0,1,0,2,0,0
U658,0,0,0,2,1,0,0
U659,0,0,0,2,0,0,0
U660,0,0,0,0,1,0,0
U661,0,0,1,2,0,0,0
U662,0,0,0,0,1,0,0
U663,0,0,0,4,0,0,0
U664,0,0,0,1,2,0,0
U665,0,0,0,1,3,0,0
U666,0,0,1,0,1,0,0
U667,0,0,1,0,1,0,0
U668,0,0,1,1,1,0,0
U669,0,0,1,1,2,0,0
U670,0,0,0,2,0,0,0
U671,0,0,0,0,1,0,0
U672,0,0,1,1,1,0,0
U673,0,0,1,1,0,0,0
U674,0,0,0,1,1,0,0
U675,0,0,1,1,2,0,0
U676,0,0,0,0,1,0,0
U677,0,0,0,1,0,0,0
U678,0,0,1,2,0,0,0
U679,0,0,2,0,0,0,0
U680,0,0,0,2,0,0,0
U681,0,0,1,0,2,0,0
U682,0,0,1,0,0,0,0
U683,40,1,1,0,0,0,0
U684,0,0,0,1,1,0,0
U685,0,0,1,2,3,0,0
U686,0,0,0,2,3,0,0
U687,0,0,0,0,1,0,0
U688,0,0,0,1,1,0,0
U689,0,0,1,2,0,0,0
U690,0,0,1,1,1,0,0
U691,0,0,0,2,1,0,0
U692,0,0,0,1,0,0,0
U693,0,0,1,0,0,0,0
U694,0,0,1,4,0,0,0
U695,0,0,1,1,1,0,0
U696,0,0,0,1,2,0,0
U697,0,0,0,1,0,0,0
U698,40,1,2,0,2,0,0
U699,40,1,1,0,1,0,0
U700,40,1,2,0,1,0,0
U701,0,0,0,0,2,0,0
U702,0,0,1,0,2,0,0
U703,0,0,2,0,0,0,0
U704,0,0,0,2,0,0,0
U705,0,0,0,2,2,0,0
U706,0,0,0,0,1,0,0
U707,0,0,0,2,1,0,0
U708,0,0,0,1,1,0,0
U709,0,0,0,1,1,0,0
U710,0,0,1,0,2,0,0
U711,0,0,0,1,2,0,0
U712,0,0,0,0,1,0,0
U713,0,0,0,0,2,0,0
U714,0,0,1,1,0,0,0
U715,0,0,0,1,0,0,0
U716,0,0,0,1,0,0,0
U717,0,0,1,0,0,0,0
U718,0,0,0,0,0,0,0
U719,40,1,1,3,0,0,0
U720,0,0,0,0,1,0,0
U721,0,0,0,0,0,0,0
U722,0,0,1,0,0,0,0
U723,0,0,0,3,0,0,0
U724,0,0,1,0,0,0,0
U725,0,0,2,1,0,0,0
U726,60,0,0,3,1,0,0
U727,0,0,0,2,3,0,0
U728,0,0,1,1,1,0,0
U729,0,0,0,1,1,0,0
U730,0,0,0,0,0,0,0
U731,0,0,1,1,1,0,0
U732,0,0,1,2,0,0,0
U733,0,0,0,1,2,0,0
U734,0,0,2,0,1,0,0
U735,0,0,0,0,1,0,0
U736,0,0,0,1,2,0,0
U737,0,0,0,0,1,0,0
U738,0,0,0,1,0,0,0
U739,0,0,1,2,2,0,0
U740,0,0,0,2,2,0,0
U741,0,0,1,1,0,0,0
U742,0,0,0,0,0,0,0
U743,0,0,1,0,3,0,0
U744,0,0,0,1,0,0,0
U745,0,0,0,1,0,0,0
U746,0,0,1,0,2,0,0
U747,0,0,0,0,0,0,0
U748,0,0,1,3,2,0,0
U749,0,0,0,2,0,0,0
U750,0,0,0,0,1,0,0
U751,0,0,2,2,1,0,0
U752,0,0,0,1,1,0,0
U753,0,0,0,1,0,0,0
U754,0,0,0,1,0,0,0
U755,0,0,0,1,0,0,0
U756,0,0,0,2,1,0,0
U757,0,0,0,1,2,0,0
U758,0,0,0,3,0,0,0
U759,0,0,0,1,0,0,0
U760,0,0,0,2,2,0,0
U761,0,0,0,1,0,0,0
U762,0,0,0,0,1,0,0
U763,0,0,1,1,2,0,0
U764,0,0,2,0,1,0,0
U765,0,0,0,1,1,0,0
U766,0,0,0,1,0,0,0
U767,0,0,2,1,0,0,0
U768,0,0,0,1,1,0,0
U769,0,0,1,0,1,0,0
U770,0,0,0,0,0,0,0
U771,0,0,0,2,0,0,0
U772,0,0,0,1,3,0,0
U773,0,0,0,1,1,0,0
U774,0,0,0,3,2,0,0
U775,0,0,0,0,2,0,0
U776,0,0,0,0,1,0,0
U777,0,0,1,0,2,0,0
U778,0,0,0,2,1,0,0
U779,0,0,0,1,0,0,0
U780,0,0,0,0,0,0,0
U781,0,0,0,0,0,0,0
U782,60,0,0,3,1,0,0
U783,0,0,1,0,0,0,0
U784,0,0,1,0,0,0,0
U785,0,0,0,1,0,0,0
U786,0,0,0,0,2,0,0
U787,0,0,1,0,2,0,0
U788,0,0,0,2,2,0,0
U789,0,0,2,1,0,0,0
U790,0,0,1,3,0,0,0
U791,40,1,1,1,0,0,0
U792,0,0,1,3,2,0,0
U793,0,0,0,1,0,0,0
U794,0,0,1,1,0,0,0
U795,0,0,0,1,1,0,0
U796,0,0,0,1,0,0,0
U797,0,0,0,1,1,0,0
U798,0,0,0,1,1,0,0
U799,0,0,0,1,0,0,0
U800,0,0,0,0,4,0,0
U801,0,0,0,0,1,0,0
U802,0,0,0,1,0,0,0
U803,0,0,0,1,1,0,0
U804,0,0,0,0,0,0,0
U805,0,0,1,2,1,0,0
U806,0,0,1,0,0,0,0
U807,0,0,2,1,4,0,0
U808,0,0,0,0,1,0,0
U809,0,0,0,2,1,0,0
U810,0,0,0,0,0,0,0
U811,40,1,1,2,0,0,0
U812,0,0,1,0,0,0,0
U813,0,0,0,2,1,0,0
U814,60,0,0,3,1,0,0
U815,0,0,0,2,0,0,0
