trans_id,sender_id,receiver_id,amount,transaction_type,channel,sender_bal_before,sender_bal_after,receiver_bal_after,timestamp,location,is_sim_bound,device_id,time_to_pay_ms
T56,U4844,U8123,9689.0,UPI,Mobile,143765.0,134076.0,79761,2025-03-16 23:38:00,Xiamen,True,DEV_4844,21255
T57,U466,U15309,4423.0,UPI,Mobile,98522.0,94099.0,135672,2025-03-01 18:03:00,Iwakuni,True,DEV_466,38698
T58,U15620,U20607,1074.0,UPI,Mobile,130706.0,129632.0,123231,2025-03-17 14:04:00,Iwakuni,True,DEV_15620,56039
T59,U2793,U10716,8807.0,UPI,Mobile,55073.0,46266.0,165469,2025-05-14 01:54:00,Iwakuni,True,DEV_2793,36789
T60,U6874,U8754,6831.0,UPI,Mobile,132996.0,126165.0,129622,2025-03-01 18:05:00,Melbourne,True,DEV_6874,24143
T61,U12149,U7687,14779.0,UPI,Mobile,18181.0,3402.0,39388,2025-05-01 05:57:00,Melbourne,True,DEV_12149,39817
T62,U15500,U3018,13601.0,UPI,Web,56994.0,43393.0,201639,2025-03-24 04:06:00,Melbourne,True,DEV_15500,22067
T63,U18541,U9218,11135.0,UPI,Web,97989.0,86854.0,221221,2025-03-13 14:08:00,Shenzhen,True,DEV_18541,47082
T64,U15156,U16973,1740.0,UPI,Mobile,53867.0,52127.0,74840,2025-04-12 11:11:00,Iwakuni,True,DEV_15156,12855
T65,U20458,U9739,8684.0,UPI,Mobile,135411.0,126727.0,33118,2025-05-11 01:14:00,Melbourne,True,DEV_20458,22201
T66,U12087,U19054,1418.0,UPI,Web,113569.0,112151.0,46324,2025-05-02 23:09:00,Iwakuni,True,DEV_12087,34248
T67,U3966,U14101,8484.0,UPI,Web,89140.0,80656.0,285267,2025-04-29 10:18:00,Iwakuni,True,DEV_3966,21030
T68,U2232,U5197,7037.0,UPI,Web,70575.0,63538.0,33060,2025-03-26 04:03:00,Iwakuni,True,DEV_2232,37301
T69,U7525,U16056,10940.0,UPI,Web,48178.0,37238.0,114534,2025-04-16 16:49:00,Iwakuni,True,DEV_7525,48857
T70,U4580,U887,14692.0,UPI,Web,48127.0,33435.0,162637,2025-03-01 17:47:00,Iwakuni,True,DEV_4580,21726
T71,U5988,U3373,6320.0,UPI,Mobile,32669.0,26349.0,241682,2025-05-11 02:55:00,Iwakuni,True,DEV_5988,22605
T72,U2260,U1221,7543.0,UPI,Mobile,99266.0,91723.0,242765,2025-05-10 10:41:00,Iwakuni,True,DEV_2260,46879
T73,U1809,U20776,7195.0,UPI,Web,96363.0,89168.0,228861,2025-05-23 10:51:00,Iwakuni,True,DEV_1809,43389
T74,U1847,U2837,11896.0,UPI,Web,72500.0,60604.0,244269,2025-04-28 08:08:00,Tokyo,True,DEV_1847,15595
T75,U7314,U19684,8164.0,UPI,Mobile,85640.0,77476.0,229060,2025-04-26 05:44:00,Tokyo,True,DEV_7314,27824
T76,U674,U10515,13303.0,UPI,Mobile,136560.0,123257.0,128997,2025-03-29 01:32:00,Melbourne,True,DEV_674,25340
T77,U903,U16214,8633.0,UPI,Mobile,20259.0,11626.0,263914,2025-04-26 13:31:00,Xiamen,True,DEV_903,50092
T78,U3805,U7289,3932.0,UPI,Mobile,64590.0,60658.0,143849,2025-04-06 15:25:00,Melbourne,True,DEV_3805,25175
T79,U7559,U1902,6698.0,UPI,Mobile,99486.0,92788.0,130085,2025-04-17 07:11:00,Shenzhen,True,DEV_7559,55994
T80,U8025,U6461,14664.0,UPI,Web,146723.0,132059.0,92673,2025-04-13 22:27:00,Shenzhen,True,DEV_8025,15749
T81,U19868,U16639,12439.0,UPI,Mobile,115283.0,102844.0,266117,2025-04-13 11:57:00,Melbourne,True,DEV_19868,29645
T82,U17220,U12018,4474.0,UPI,Mobile,117764.0,113290.0,76021,2025-03-22 03:19:00,Melbourne,True,DEV_17220,22314
T83,U17849,U2635,8419.0,UPI,Mobile,100243.0,91824.0,195638,2025-03-11 07:44:00,Tokyo,True,DEV_17849,14452
T84,U7876,U17810,8184.0,UPI,Web,105837.0,97653.0,294592,2025-04-21 07:40:00,Iwakuni,True,DEV_7876,58081
T85,U17363,U2789,4431.0,UPI,Mobile,74287.0,69856.0,9082,2025-03-10 07:17:00,Melbourne,True,DEV_17363,33341
T86,U397,U13210,3537.0,UPI,Mobile,119646.0,116109.0,138773,2025-03-16 21:22:00,Shenzhen,True,DEV_397,59234
T87,U12530,U12444,13463.0,UPI,Web,131100.0,117637.0,186155,2025-04-12 09:12:00,Iwakuni,True,DEV_12530,58415
T88,U16889,U13623,14857.0,UPI,Web,56592.0,41735.0,167668,2025-05-01 14:01:00,Melbourne,True,DEV_16889,56678
T89,U11726,U632,1499.0,UPI,Web,57576.0,56077.0,250871,2025-03-17 14:01:00,Shenzhen,True,DEV_11726,35513
T90,U15518,U3972,189.0,UPI,Web,141374.0,141185.0,164970,2025-04-30 14:44:00,Shenzhen,True,DEV_15518,42042
T91,U16904,U20028,14179.0,UPI,Web,42479.0,28300.0,179709,2025-04-12 13:16:00,Iwakuni,True,DEV_16904,17234
T92,U13503,U7744,7342.0,UPI,Mobile,15469.0,8127.0,130069,2025-04-26 04:11:00,Shenzhen,True,DEV_13503,22852
T93,U14850,U12628,6504.0,UPI,Web,114469.0,107965.0,220539,2025-03-24 09:27:00,Shenzhen,True,DEV_14850,20360
T94,U7816,U19933,8662.0,UPI,Web,65535.0,56873.0,225760,2025-03-25 23:44:00,Iwakuni,True,DEV_7816,29145
T95,U16818,U12008,3045.0,UPI,Mobile,48544.0,45499.0,137036,2025-05-13 02:51:00,Melbourne,True,DEV_16818,36647
T96,U3427,U1018,8227.0,UPI,Web,54058.0,45831.0,80782,2025-03-29 16:04:00,Iwakuni,True,DEV_3427,48875
T97,U1142,U20155,3603.0,UPI,Mobile,71709.0,68106.0,256612,2025-04-12 12:04:00,Tokyo,True,DEV_1142,45207
T98,U15118,U20160,12170.0,UPI,Web,104761.0,92591.0,36303,2025-05-02 13:54:00,Iwakuni,True,DEV_15118,43635
T99,U18036,U4702,11814.0,UPI,Web,142524.0,130710.0,163215,2025-05-09 15:05:00,Shenzhen,True,DEV_18036,54458
T100,U19184,U11141,9116.0,UPI,Web,43515.0,34399.0,108238,2025-05-18 14:21:00,Iwakuni,True,DEV_19184,21217
T101,U11350,U6617,14914.0,UPI,Mobile,75448.0,60534.0,195243,2025-05-06 18:26:00,Iwakuni,True,DEV_11350,15584
T102,U7691,U7629,8820.0,UPI,Web,115254.0,106434.0,277884,2025-04-08 01:38:00,Melbourne,True,DEV_7691,16076
T103,U2699,U9543,9862.0,UPI,Web,115560.0,105698.0,131434,2025-04-12 17:33:00,Shenzhen,True,DEV_2699,32505
T104,U1859,U18254,14793.0,UPI,Web,25110.0,10317.0,45500,2025-04-18 02:40:00,Tokyo,True,DEV_1859,42742
T105,U2115,U7645,11284.0,UPI,Web,18505.0,7221.0,145998,2025-05-02 06:51:00,Iwakuni,True,DEV_2115,26981
T106,U2824,U19437,4563.0,UPI,Mobile,43928.0,39365.0,29876,2025-04-22 02:38:00,Iwakuni,True,DEV_2824,51822
T107,U17259,U2457,10742.0,UPI,Web,68470.0,57728.0,72385,2025-04-15 03:00:00,Iwakuni,True,DEV_17259,15959
T108,U12148,U4725,4743.0,UPI,Web,108056.0,103313.0,164020,2025-05-16 12:58:00,Tokyo,True,DEV_12148,58337
T109,U6524,U14654,1388.0,UPI,Web,90094.0,88706.0,170880,2025-04-02 12:35:00,Iwakuni,True,DEV_6524,20862
T110,U9363,U8531,12841.0,UPI,Mobile,66699.0,53858.0,196667,2025-03-01 14:34:00,Melbourne,True,DEV_9363,52500
T111,U2571,U1567,400.0,UPI,Web,95925.0,95525.0,208457,2025-04-15 21:55:00,Tokyo,True,DEV_2571,25015
T112,U2606,U3915,11215.0,UPI,Mobile,63925.0,52710.0,209312,2025-05-09 23:47:00,Iwakuni,True,DEV_2606,30474
T113,U19640,U12151,14053.0,UPI,Mobile,19984.0,5931.0,213216,2025-04-05 17:05:00,Shenzhen,True,DEV_19640,56251
T114,U1564,U1295,12437.0,UPI,Mobile,95752.0,83315.0,144251,2025-04-17 06:52:00,Melbourne,True,DEV_1564,23822
T115,U13670,U18204,12690.0,UPI,Web,130765.0,118075.0,149694,2025-05-21 21:55:00,Melbourne,True,DEV_13670,33058
T116,U9892,U234,6893.0,UPI,Mobile,145458.0,138565.0,244186,2025-05-02 21:05:00,Xiamen,True,DEV_9892,24739
T117,U13530,U392,10246.0,UPI,Web,74487.0,64241.0,214687,2025-04-11 14:29:00,Melbourne,True,DEV_13530,45597
T118,U3143,U8135,7179.0,UPI,Mobile,48142.0,40963.0,63976,2025-05-14 11:14:00,Melbourne,True,DEV_3143,29843
T119,U15688,U17434,9502.0,UPI,Mobile,122028.0,112526.0,268790,2025-03-06 12:20:00,Shenzhen,True,DEV_15688,18436
T120,U10286,U11901,12826.0,UPI,Web,15839.0,3013.0,137075,2025-03-13 13:51:00,Melbourne,True,DEV_10286,21952
T121,U17386,U3911,9569.0,UPI,Mobile,146309.0,136740.0,284184,2025-03-06 20:08:00,Melbourne,True,DEV_17386,50609
T122,U8894,U18776,1247.0,UPI,Web,97510.0,96263.0,118067,2025-05-01 15:56:00,Iwakuni,True,DEV_8894,47202
T123,U18738,U18464,1888.0,UPI,Mobile,113509.0,111621.0,90297,2025-05-17 09:31:00,Xiamen,True,DEV_18738,14737
T124,U20893,U2441,11032.0,UPI,Web,22815.0,11783.0,77446,2025-03-13 02:45:00,Iwakuni,True,DEV_20893,53090
T125,U20164,U3277,8776.0,UPI,Mobile,35818.0,27042.0,284284,2025-05-10 19:51:00,Shenzhen,True,DEV_20164,50597
T126,U3271,U5686,13645.0,UPI,Mobile,128251.0,114606.0,6732,2025-03-20 04:06:00,Xiamen,True,DEV_3271,12002
T127,U6392,U20291,8981.0,UPI,Web,23395.0,14414.0,171626,2025-03-18 19:24:00,Shenzhen,True,DEV_6392,59650
T128,U5437,U18323,11206.0,UPI,Web,74979.0,63773.0,169075,2025-04-30 14:31:00,Tokyo,True,DEV_5437,26867
T129,U19679,U6249,12660.0,UPI,Mobile,43325.0,30665.0,86706,2025-03-29 14:29:00,Iwakuni,True,DEV_19679,17767
T130,U3121,U20517,14246.0,UPI,Web,98277.0,84031.0,296416,2025-04-16 00:10:00,Melbourne,True,DEV_3121,46582
T131,U18516,U19066,9049.0,UPI,Mobile,132806.0,123757.0,134672,2025-03-11 16:55:00,Shenzhen,True,DEV_18516,28229
T132,U18180,U14245,4742.0,UPI,Mobile,136012.0,131270.0,140822,2025-04-26 20:17:00,Tokyo,True,DEV_18180,13254
T133,U17006,U7571,10722.0,UPI,Mobile,97430.0,86708.0,64175,2025-05-01 10:49:00,Iwakuni,True,DEV_17006,29724
T134,U19784,U17288,13197.0,UPI,Web,95499.0,82302.0,178529,2025-04-10 15:35:00,Iwakuni,True,DEV_19784,18502
T135,U10584,U2834,9172.0,UPI,Web,125170.0,115998.0,61074,2025-03-21 23:08:00,Iwakuni,True,DEV_10584,43163
T136,U1355,U18258,13311.0,UPI,Web,29943.0,16632.0,94343,2025-03-04 18:12:00,Shenzhen,True,DEV_1355,24109
T137,U15501,U11267,254.0,UPI,Web,82558.0,82304.0,115995,2025-03-20 11:59:00,Iwakuni,True,DEV_15501,59050
T138,U13397,U2014,7313.0,UPI,Mobile,57674.0,50361.0,72181,2025-05-03 21:31:00,Iwakuni,True,DEV_13397,39005
T139,U4545,U19684,9042.0,UPI,Web,48821.0,39779.0,219826,2025-05-20 02:40:00,Iwakuni,True,DEV_4545,57655
T140,U19845,U19807,6970.0,UPI,Web,70635.0,63665.0,288871,2025-05-07 16:57:00,Iwakuni,True,DEV_19845,13952
T141,U17754,U10460,4241.0,UPI,Web,72705.0,68464.0,76955,2025-05-11 17:07:00,Iwakuni,True,DEV_17754,40155
T142,U14189,U4430,11969.0,UPI,Web,108298.0,96329.0,188707,2025-04-28 21:43:00,Iwakuni,True,DEV_14189,38115
T143,U15542,U16557,403.0,UPI,Mobile,77315.0,76912.0,101353,2025-04-28 01:42:00,Melbourne,True,DEV_15542,17059
T144,U3498,U12879,12566.0,UPI,Mobile,73856.0,61290.0,206505,2025-04-07 17:16:00,Tokyo,True,DEV_3498,50301
T145,U8957,U2896,572.0,UPI,Web,147316.0,146744.0,176644,2025-04-17 20:35:00,Iwakuni,True,DEV_8957,45394
T146,U8226,U6889,13374.0,UPI,Mobile,124038.0,110664.0,248700,2025-03-23 05:56:00,Shenzhen,True,DEV_8226,47757
T147,U7785,U6047,11540.0,UPI,Mobile,35105.0,23565.0,22706,2025-03-14 00:35:00,Shenzhen,True,DEV_7785,12231
T148,U474,U8038,7481.0,UPI,Web,101362.0,93881.0,143111,2025-04-30 00:06:00,Iwakuni,True,DEV_474,57369
T149,U4021,U20586,3285.0,UPI,Web,29234.0,25949.0,284438,2025-03-16 21:43:00,Iwakuni,True,DEV_4021,44826
T150,U1590,U15868,14263.0,UPI,Mobile,33982.0,19719.0,225432,2025-03-25 04:29:00,Iwakuni,True,DEV_1590,34749
T151,U3048,U3790,4860.0,UPI,Mobile,131357.0,126497.0,275857,2025-04-08 06:53:00,Iwakuni,True,DEV_3048,41564
T152,U14077,U12358,5814.0,UPI,Mobile,130048.0,124234.0,293994,2025-03-24 15:53:00,Asagaya-minami,True,DEV_14077,28468
T153,U17782,U10524,13559.0,UPI,Web,108608.0,95049.0,75640,2025-03-14 01:34:00,Iwakuni,True,DEV_17782,15856
T154,U13985,U4623,12448.0,UPI,Mobile,80254.0,67806.0,158468,2025-05-06 21:50:00,Iwakuni,True,DEV_13985,41153
T155,U14706,U4544,6271.0,UPI,Web,51906.0,45635.0,52011,2025-04-14 21:21:00,Iwakuni,True,DEV_14706,45912
T156,U13610,U9394,328.0,UPI,Web,35587.0,35259.0,289730,2025-03-02 00:22:00,Melbourne,True,DEV_13610,34838
T157,U14668,U14506,13162.0,UPI,Mobile,136515.0,123353.0,189660,2025-04-14 02:52:00,Melbourne,True,DEV_14668,32804
T158,U20652,U15605,9291.0,UPI,Web,132457.0,123166.0,145593,2025-03-12 04:05:00,Iwakuni,True,DEV_20652,18914
T159,U20634,U17841,7649.0,UPI,Web,129181.0,121532.0,32815,2025-05-04 13:29:00,Iwakuni,True,DEV_20634,38189
T160,U633,U3727,10455.0,UPI,Mobile,132576.0,122121.0,221056,2025-05-09 12:07:00,Iwakuni,True,DEV_633,26983
T161,U10842,U4479,10596.0,UPI,Mobile,69634.0,59038.0,133300,2025-04-04 12:47:00,Melbourne,True,DEV_10842,22441
T162,U11722,U10695,12352.0,UPI,Mobile,145134.0,132782.0,114064,2025-04-20 23:36:00,Iwakuni,True,DEV_11722,42128
T163,U4603,U13638,6643.0,UPI,Web,142660.0,136017.0,157309,2025-04-04 08:07:00,Shenzhen,True,DEV_4603,43365
T164,U8102,U10770,8856.0,UPI,Web,111202.0,102346.0,197062,2025-05-01 05:04:00,Melbourne,True,DEV_8102,27506
T165,U110,U2923,9526.0,UPI,Mobile,19726.0,10200.0,120947,2025-04-07 16:22:00,Melbourne,True,DEV_110,26024
T166,U7569,U3172,6810.0,UPI,Web,25869.0,19059.0,140642,2025-05-19 12:53:00,Iwakuni,True,DEV_7569,42260
T167,U16251,U20803,11870.0,UPI,Mobile,24073.0,12203.0,242392,2025-04-06 15:34:00,Iwakuni,True,DEV_16251,48040
T168,U6439,U12706,12072.0,UPI,Web,73328.0,61256.0,214560,2025-04-17 12:51:00,Iwakuni,True,DEV_6439,30474
T169,U13237,U11438,1992.0,UPI,Mobile,145291.0,143299.0,90333,2025-03-18 03:40:00,Tokyo,True,DEV_13237,16304
T170,U11894,U15249,5214.0,UPI,Mobile,44433.0,39219.0,296837,2025-04-05 06:54:00,Iwakuni,True,DEV_11894,21403
T171,U17007,U20964,9854.0,UPI,Mobile,50712.0,40858.0,191500,2025-04-19 22:34:00,Tokyo,True,DEV_17007,20586
T172,U18404,U20597,1700.0,UPI,Mobile,77406.0,75706.0,273694,2025-04-12 00:31:00,Iwakuni,True,DEV_18404,21327
T173,U18447,U5494,3312.0,UPI,Web,90448.0,87136.0,297284,2025-05-08 21:46:00,Iwakuni,True,DEV_18447,34037
T174,U2648,U14721,1282.0,UPI,Mobile,89058.0,87776.0,270504,2025-04-12 09:04:00,Tokyo,True,DEV_2648,57060
T175,U8452,U7743,6763.0,UPI,Web,55280.0,48517.0,147213,2025-03-16 07:59:00,Iwakuni,True,DEV_8452,15628
T176,U18061,U13291,11550.0,UPI,Web,103758.0,92208.0,52113,2025-05-13 16:24:00,Tokyo,True,DEV_18061,57510
T177,U13269,U14903,9396.0,UPI,Web,41861.0,32465.0,240537,2025-04-27 09:03:00,Melbourne,True,DEV_13269,54788
T178,U929,U17876,961.0,UPI,Mobile,60086.0,59125.0,23554,2025-03-30 06:18:00,Melbourne,True,DEV_929,59918
T179,U19733,U13126,2744.0,UPI,Web,37342.0,34598.0,23707,2025-03-05 02:22:00,Tokyo,True,DEV_19733,56705
T180,U13995,U20929,4901.0,UPI,Web,65871.0,60970.0,60693,2025-05-04 11:55:00,Iwakuni,True,DEV_13995,34488
T181,U57,U11454,5133.0,UPI,Web,124694.0,119561.0,46130,2025-03-07 01:43:00,Shenzhen,True,DEV_57,56538
T182,U14520,U18885,655.0,UPI,Mobile,85457.0,84802.0,191921,2025-04-27 09:54:00,Iwakuni,True,DEV_14520,31097
T183,U5947,U2530,7690.0,UPI,Web,95395.0,87705.0,69979,2025-05-10 04:29:00,Tokyo,True,DEV_5947,36935
T184,U11399,U12075,9213.0,UPI,Web,52261.0,43048.0,208968,2025-03-01 10:15:00,Tokyo,True,DEV_11399,29487
T185,U17337,U13452,2629.0,UPI,Web,56523.0,53894.0,163575,2025-03-18 10:42:00,Shenzhen,True,DEV_17337,16237
T186,U3501,U9728,2414.0,UPI,Mobile,46836.0,44422.0,175786,2025-05-05 11:09:00,Melbourne,True,DEV_3501,50705
T187,U10029,U2202,10761.0,UPI,Mobile,116806.0,106045.0,114153,2025-03-03 06:04:00,Tokyo,True,DEV_10029,29460
T188,U15182,U7916,4207.0,UPI,Web,67255.0,63048.0,9487,2025-03-19 15:17:00,Melbourne,True,DEV_15182,38179
T189,U14391,U13574,5389.0,UPI,Web,125412.0,120023.0,189265,2025-05-18 20:53:00,Shenzhen,True,DEV_14391,58941
T190,U8169,U10090,13018.0,UPI,Mobile,138132.0,125114.0,269674,2025-05-01 15:22:00,Xiamen,True,DEV_8169,13864
T191,U727,U5861,7641.0,UPI,Mobile,58031.0,50390.0,163673,2025-04-06 08:57:00,Melbourne,True,DEV_727,40046
T192,U11087,U15857,5415.0,UPI,Mobile,136213.0,130798.0,68798,2025-03-03 22:52:00,Melbourne,True,DEV_11087,26475
T193,U16060,U2406,11878.0,UPI,Mobile,111450.0,99572.0,166400,2025-03-25 14:25:00,Melbourne,True,DEV_16060,23625
T194,U13286,U7959,11523.0,UPI,Mobile,52639.0,41116.0,49738,2025-04-11 19:15:00,Iwakuni,True,DEV_13286,15664
T195,U13246,U10680,14428.0,UPI,Web,23281.0,8853.0,243643,2025-03-10 00:48:00,Iwakuni,True,DEV_13246,18672
T196,U2615,U12325,13182.0,UPI,Web,111916.0,98734.0,24314,2025-05-11 21:32:00,Shenzhen,True,DEV_2615,27069
T197,U12436,U52,7123.0,UPI,Mobile,139183.0,132060.0,63665,2025-04-26 16:17:00,Melbourne,True,DEV_12436,18244
T198,U16153,U12784,7613.0,UPI,Web,136763.0,129150.0,267559,2025-05-02 09:39:00,Tokyo,True,DEV_16153,15166
T199,U600,U10913,14147.0,UPI,Mobile,70930.0,56783.0,70484,2025-05-03 00:06:00,Iwakuni,True,DEV_600,24401
T200,U9163,U10196,10196.0,UPI,Web,33958.0,23762.0,148354,2025-03-12 10:04:00,Iwakuni,True,DEV_9163,37751
T201,U5614,U5140,9268.0,UPI,Mobile,56186.0,46918.0,220239,2025-04-03 19:27:00,Iwakuni,True,DEV_5614,49723
